goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/fasthttp_floor,9.048e-08,3%,1.3500000000000003e-07,3%,+49.20%,p=0.000 n=10,1.1605000000000001e-07,5%,+28.26%,p=0.000 n=10,1.0795000000000001e-07,5%,+19.31%,p=0.000 n=10
Request/static,1.8205000000000002e-07,5%,3.0245000000000006e-07,5%,+66.14%,p=0.000 n=10,2.6695000000000004e-07,3%,+46.64%,p=0.000 n=10,2.0025e-07,3%,+10.00%,p=0.000 n=10
Request/parameter,2.0740000000000002e-07,6%,3.4995000000000003e-07,3%,+68.73%,p=0.000 n=10,2.9539999999999996e-07,3%,+42.43%,p=0.000 n=10,2.451e-07,3%,+18.18%,p=0.000 n=10
Request/wildcard,2.303e-07,9%,3.7885e-07,5%,+64.50%,p=0.000 n=10,3.567e-07,1%,+54.88%,p=0.000 n=10,2.9500000000000003e-07,4%,+28.09%,p=0.000 n=10
Request/query_lookup,2.4150000000000004e-07,5%,3.736e-07,5%,+54.70%,p=0.000 n=10,3.3245e-07,4%,+37.66%,p=0.000 n=10,2.8565e-07,5%,+18.28%,p=0.000 n=10
Request/header_lookup,2.5435e-07,5%,4.0415e-07,5%,+58.90%,p=0.000 n=10,3.546e-07,5%,+39.41%,p=0.000 n=10,2.9225000000000004e-07,3%,+14.90%,p=0.000 n=10
Request/locals,2.129e-07,5%,3.822e-07,4%,+79.52%,p=0.000 n=10,3.4740000000000005e-07,3%,+63.18%,p=0.000 n=10,2.9790000000000004e-07,7%,+39.92%,p=0.000 n=10
Request/query_bind,1.3625e-06,5%,1.646e-06,4%,+20.81%,p=0.000 n=10,8.5275e-07,7%,-37.41%,p=0.000 n=10,8.068e-07,8%,-40.79%,p=0.000 n=10
Request/middleware_chain,1.9605e-07,38%,3.1485000000000004e-07,21%,+60.60%,p=0.000 n=10,2.8660000000000004e-07,4%,+46.19%,p=0.002 n=10,2.255e-07,6%,+15.02%,p=0.019 n=10
Request/cors_simple,4.1065000000000004e-07,5%,6.212000000000001e-07,3%,+51.27%,p=0.000 n=10,5.834500000000001e-07,3%,+42.08%,p=0.000 n=10,5.385e-07,3%,+31.13%,p=0.000 n=10
Request/cors_preflight,9.025e-07,3%,1.2025000000000001e-06,3%,+33.24%,p=0.000 n=10,1.0185e-06,3%,+12.85%,p=0.000 n=10,1.0215e-06,5%,+13.19%,p=0.000 n=10
Request/recover_no_panic,1.9960000000000001e-07,3%,3.1104999999999997e-07,5%,+55.84%,p=0.000 n=10,2.7995e-07,4%,+40.26%,p=0.000 n=10,2.2980000000000003e-07,4%,+15.13%,p=0.001 n=10
Request/not_found_default,6.2135e-07,4%,5.151500000000001e-07,2%,-17.09%,p=0.000 n=10,3.5035e-07,5%,-43.61%,p=0.000 n=10,2.8245e-07,4%,-54.54%,p=0.000 n=10
Request/not_found_custom,4.2880000000000003e-07,5%,3.624e-07,3%,-15.49%,p=0.000 n=10,2.833e-07,4%,-33.93%,p=0.000 n=10,2.2460000000000004e-07,3%,-47.62%,p=0.000 n=10
Request/json_response,6.3265e-07,6%,7.0785e-07,3%,+11.89%,p=0.000 n=10,6.722000000000001e-07,4%,+6.25%,p=0.003 n=10,6.937e-07,11%,+9.65%,p=0.000 n=10
Request/json_bind,7.934000000000001e-07,5%,9.781e-07,3%,+23.28%,p=0.000 n=10,9.061e-07,3%,+14.20%,p=0.000 n=10,8.968e-07,6%,+13.03%,p=0.000 n=10
Request/json_response_1024,1.2015000000000003e-06,4%,1.2445000000000001e-06,3%,+3.58%,p=0.005 n=10,1.2065000000000002e-06,3%,~,p=0.211 n=10,1.2615000000000001e-06,5%,+4.99%,p=0.000 n=10
Request/json_bind_1024,1.6880000000000002e-06,3%,1.8245e-06,3%,+8.09%,p=0.000 n=10,1.8645e-06,10%,+10.46%,p=0.000 n=10,1.8230000000000002e-06,5%,+8.00%,p=0.000 n=10
Request/json_response_16384,8.2045e-06,4%,8.077e-06,3%,~,p=0.190 n=10,8.0395e-06,4%,~,p=0.143 n=10,8.499000000000001e-06,4%,+3.59%,p=0.015 n=10
Request/json_bind_16384,1.23695e-05,4%,1.2260500000000002e-05,3%,~,p=0.280 n=10,1.32435e-05,21%,+7.07%,p=0.004 n=10,1.2648500000000001e-05,4%,+2.26%,p=0.034 n=10
Request/static_routes_100,5.098500000000001e-07,4%,6.2975e-07,3%,+23.52%,p=0.000 n=10,5.952e-07,3%,+16.74%,p=0.000 n=10,5.279000000000001e-07,4%,+3.54%,p=0.003 n=10
Request/static_routes_1000,3.2885e-06,5%,3.5845e-06,5%,+9.00%,p=0.000 n=10,3.4480000000000003e-06,4%,+4.85%,p=0.001 n=10,3.4635e-06,4%,+5.32%,p=0.005 n=10
geomean,5.908402106905444e-07,,7.611480634693501e-07,,+28.82%,,6.724275986566772e-07,,+13.81%,,6.052567773837536e-07,,+2.44%,

,v2,,v3.0.0,,,,v3,,,,main,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
