goos: linux
goarch: amd64
cpu: Intel(R) Xeon(R) Processor
,v2,,v3.0.0,,,,v3,,,,main,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/fasthttp_floor,1.1865e-07,7%,1.6405e-07,10%,+38.26%,p=0.000 n=10,1.5225e-07,20%,+28.32%,p=0.000 n=10,1.4685000000000002e-07,7%,+23.77%,p=0.000 n=10
Request/static,2.6195e-07,13%,3.535e-07,7%,+34.95%,p=0.000 n=10,3.053e-07,6%,+16.55%,p=0.002 n=10,3.0200000000000003e-07,7%,+15.29%,p=0.002 n=10
Request/parameter,2.9095000000000005e-07,5%,3.8110000000000004e-07,6%,+30.98%,p=0.000 n=10,3.2880000000000003e-07,5%,+13.01%,p=0.000 n=10,3.227e-07,5%,+10.91%,p=0.000 n=10
Request/wildcard,3.1690000000000004e-07,5%,4.0560000000000003e-07,5%,+27.99%,p=0.000 n=10,3.5065000000000003e-07,7%,+10.65%,p=0.002 n=10,3.5385e-07,8%,+11.66%,p=0.000 n=10
Request/query_lookup,3.156e-07,5%,4.103e-07,5%,+30.01%,p=0.000 n=10,3.632e-07,5%,+15.08%,p=0.000 n=10,3.5955e-07,6%,+13.93%,p=0.000 n=10
Request/header_lookup,3.2890000000000004e-07,11%,4.505e-07,14%,+36.97%,p=0.000 n=10,3.9185e-07,6%,+19.14%,p=0.001 n=10,3.9595e-07,9%,+20.39%,p=0.001 n=10
Request/locals,2.9580000000000004e-07,5%,4.2040000000000003e-07,8%,+42.12%,p=0.000 n=10,3.7095e-07,4%,+25.41%,p=0.000 n=10,3.8115000000000005e-07,6%,+28.85%,p=0.000 n=10
Request/query_bind,1.608e-06,11%,1.861e-06,8%,+15.73%,p=0.002 n=10,8.571e-07,7%,-46.70%,p=0.000 n=10,7.850000000000001e-07,19%,-51.18%,p=0.000 n=10
Request/middleware_chain,2.875e-07,5%,3.7289999999999996e-07,6%,+29.70%,p=0.000 n=10,3.2085e-07,7%,+11.60%,p=0.000 n=10,3.2255000000000004e-07,8%,+12.19%,p=0.000 n=10
Request/cors_simple,4.8935e-07,4%,6.357e-07,6%,+29.91%,p=0.000 n=10,6.1655e-07,26%,+25.99%,p=0.000 n=10,5.905e-07,47%,+20.67%,p=0.000 n=10
Request/cors_preflight,1.0900000000000002e-06,14%,1.3654999999999999e-06,13%,+25.28%,p=0.000 n=10,1.1405000000000001e-06,7%,~,p=0.105 n=10,1.1675000000000003e-06,5%,~,p=0.055 n=10
Request/recover_no_panic,2.9250000000000006e-07,8%,3.68e-07,9%,+25.81%,p=0.000 n=10,3.2740000000000003e-07,7%,+11.93%,p=0.001 n=10,3.1665000000000007e-07,14%,+8.26%,p=0.002 n=10
Request/not_found_default,6.640000000000001e-07,35%,5.526e-07,26%,-16.78%,p=0.019 n=10,3.764e-07,10%,-43.31%,p=0.000 n=10,3.8015e-07,17%,-42.75%,p=0.000 n=10
Request/not_found_custom,5.328e-07,10%,4.1470000000000003e-07,9%,-22.17%,p=0.000 n=10,3.108e-07,5%,-41.67%,p=0.000 n=10,3.0445e-07,5%,-42.86%,p=0.000 n=10
Request/json_response,6.452e-07,7%,7.350000000000001e-07,7%,+13.92%,p=0.001 n=10,6.981000000000001e-07,7%,+8.20%,p=0.035 n=10,6.841000000000002e-07,4%,+6.03%,p=0.035 n=10
Request/json_bind,8.534000000000002e-07,10%,1.027e-06,5%,+20.34%,p=0.002 n=10,9.154000000000002e-07,9%,+7.27%,p=0.009 n=10,9.341000000000001e-07,5%,+9.46%,p=0.007 n=10
Request/json_response_1024,1.3965e-06,6%,1.4075e-06,12%,~,p=0.218 n=10,1.4080000000000001e-06,5%,~,p=0.542 n=10,1.4345e-06,13%,~,p=0.149 n=10
Request/json_bind_1024,1.8755e-06,8%,2.035e-06,9%,+8.50%,p=0.005 n=10,1.9985000000000004e-06,8%,+6.56%,p=0.029 n=10,2.054e-06,6%,+9.52%,p=0.009 n=10
Request/json_response_16384,1.1542e-05,9%,1.0966e-05,6%,~,p=0.089 n=10,1.143e-05,20%,~,p=0.853 n=10,1.1573e-05,7%,~,p=0.684 n=10
Request/json_bind_16384,1.5623000000000003e-05,7%,1.5408000000000002e-05,6%,~,p=0.165 n=10,1.58465e-05,11%,~,p=0.436 n=10,1.6945e-05,12%,~,p=0.075 n=10
Request/static_routes_100,5.719e-07,7%,7.667500000000001e-07,8%,+34.07%,p=0.000 n=10,6.488e-07,6%,+13.45%,p=0.000 n=10,3.5425000000000004e-07,7%,-38.06%,p=0.000 n=10
Request/static_routes_1000,3.0945e-06,5%,3.0885e-06,8%,~,p=0.912 n=10,3.4245e-06,5%,+10.66%,p=0.002 n=10,6.3335e-07,6%,-79.53%,p=0.000 n=10
geomean,7.316148317359044e-07,,8.534487187215311e-07,,+16.65%,,7.444826049247502e-07,,+1.76%,,6.692709678703067e-07,,-8.52%,

,v2,,v3.0.0,,,,v3,,,,main,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/wildcard,2,0%,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/locals,0,0%,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10
Request/query_bind,496,0%,512,0%,+3.23%,p=0.000 n=10,64,0%,-87.10%,p=0.000 n=10,64,0%,-87.10%,p=0.000 n=10
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_simple,0,0%,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_preflight,144,0%,208,0%,+44.44%,p=0.000 n=10,208,0%,+44.44%,p=0.000 n=10,144,0%,~,p=1.000 n=10
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/not_found_default,56,0%,8,0%,-85.71%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
Request/not_found_custom,48,0%,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
