target,name,base,value,delta,lo,hi,rounds,confidence,significant
v3.0.0,fasthttp_only,9.829e-08,1.4430000000000001e-07,50.07344612509743,36.5896980461812,60.848601735776285,10,0.9785,True
v3.0.0,static,2.2755000000000002e-07,3.3965e-07,40.204459721133425,34.31331373372532,64.76635514018693,10,0.9785,True
v3.0.0,parameter,2.5555000000000004e-07,3.7915e-07,43.8018926839796,37.45005448601524,66.79929266136165,10,0.9785,True
v3.0.0,wildcard,2.88e-07,4.1535e-07,44.51524954412989,36.63297316138028,58.73400207540642,10,0.9785,True
v3.0.0,query_lookup,2.8725e-07,4.0385e-07,39.1349984980645,34.78587528174306,53.86100386100385,10,0.9785,True
v3.0.0,header_lookup,2.8485e-07,4.4254999999999995e-07,51.96244466286879,46.98529411764707,81.32621951219514,10,0.9785,True
v3.0.0,locals,2.6135000000000005e-07,4.181e-07,53.56274468790985,46.299671892088945,73.19967266775778,10,0.9785,True
v3.0.0,query_bind,1.4775e-06,1.776e-06,19.22475353892821,16.619519094766623,28.922237380627557,10,0.9785,True
v3.0.0,middleware_chain,2.4e-07,3.4839999999999997e-07,43.67017157338211,31.95488721804509,58.70693723454459,10,0.9785,True
v3.0.0,cors_simple,4.565e-07,6.48e-07,42.47405838041431,33.74613003095976,51.2455516014235,10,0.9785,True
v3.0.0,cors_preflight,9.961e-07,1.272e-06,26.639352266481396,23.594377510040164,32.089016511127056,10,0.9785,True
v3.0.0,recover_no_panic,2.5265e-07,3.5010000000000004e-07,39.224883632757866,29.59760558696376,57.42530755711777,10,0.9785,True
v3.0.0,not_found_default,6.9005e-07,5.861e-07,-17.495026701405436,-22.531458179126584,-14.859854664096094,10,0.9785,True
v3.0.0,not_found_custom,5.057e-07,3.9564999999999997e-07,-21.95454574468765,-24.747852073216293,-16.01903251387786,10,0.9785,True
v3.0.0,json_response,7.1725e-07,7.859500000000001e-07,8.908716199389799,0.6436266965160087,15.9411588111678,10,0.9785,True
v3.0.0,json_bind,8.799000000000001e-07,1.0955e-06,22.234898033224493,17.452345622645815,25.94164456233421,10,0.9785,True
v3.0.0,json_response_1024,1.308e-06,1.384e-06,3.8946026948101897,0.12307692307691465,9.76123595505618,10,0.9785,True
v3.0.0,json_bind_1024,1.851e-06,2.076e-06,12.00781167221483,7.022749752720081,17.45391705069124,10,0.9785,True
v3.0.0,json_response_16384,8.878e-06,8.772e-06,-1.678598227760153,-6.481167288768241,1.551625784369648,10,0.9785,False
v3.0.0,json_bind_16384,1.3698e-05,1.35725e-05,-0.9186560063729976,-2.7167716027960975,8.120188726098831,10,0.9785,False
v3.0.0,static_routes_100,5.9155e-07,7.2155e-07,23.65962757533593,12.497859955487067,28.16136539953453,10,0.9785,True
v3.0.0,static_routes_1000,3.826e-06,3.9915e-06,5.689842342929241,-7.653467977677386,6.921241050119331,10,0.9785,False
v3,fasthttp_only,9.829e-08,1.2575e-07,23.340896011029866,15.20244461420932,31.006248653307477,10,0.9785,True
v3,static,2.2755000000000002e-07,2.804e-07,25.915998311523847,7.092476489028221,34.18319169027384,10,0.9785,True
v3,parameter,2.5555000000000004e-07,3.172e-07,22.10806899002513,16.389099167297516,44.946064722333205,10,0.9785,True
v3,wildcard,2.88e-07,3.702e-07,29.605525122124376,16.919525065963057,45.57459960663108,10,0.9785,True
v3,query_lookup,2.8725e-07,3.6070000000000005e-07,28.201725566763123,21.281618887015185,37.64478764478765,10,0.9785,True
v3,header_lookup,2.8485e-07,3.8275e-07,35.4684381007558,27.514295324587955,42.835365853658544,10,0.9785,True
v3,locals,2.6135000000000005e-07,3.6995e-07,36.32676121863465,32.892857142857146,46.700706991359,10,0.9785,True
v3,query_bind,1.4775e-06,8.92e-07,-39.20995074399569,-44.00135869565218,-37.92465300727032,10,0.9785,True
v3,middleware_chain,2.4e-07,3.026e-07,23.308715579237614,14.806866952789699,36.82207421503332,10,0.9785,True
v3,cors_simple,4.565e-07,6.1625e-07,39.19232668535746,28.9930918986812,42.430604152087724,10,0.9785,True
v3,cors_preflight,9.961e-07,1.1065e-06,10.713192614417277,0.7421150278293043,15.357395612172686,10,0.9785,True
v3,recover_no_panic,2.5265e-07,3.0735e-07,25.67218359379431,14.003656307129809,33.364226135310474,10,0.9785,True
v3,not_found_default,6.9005e-07,4.011e-07,-45.34606894630184,-46.615648502440955,-41.300028384899235,10,0.9785,True
v3,not_found_custom,5.057e-07,3.0285000000000004e-07,-40.90485876325785,-45.9105098855359,-36.71446646984394,10,0.9785,True
v3,json_response,7.1725e-07,7.020499999999999e-07,1.1521205107903443,-3.8690064944037594,4.777858703568816,10,0.9785,False
v3,json_bind,8.799000000000001e-07,1.00705e-06,10.532067964566338,7.534556990709262,18.452584731256415,10,0.9785,True
v3,json_response_1024,1.308e-06,1.321e-06,-1.4885496183206115,-7.563025210084029,3.7186742118027416,10,0.9785,False
v3,json_bind_1024,1.851e-06,2.032e-06,7.705608871365666,2.9673590504450953,17.741935483870975,10,0.9785,True
v3,json_response_16384,8.878e-06,8.8865e-06,0.1431885536180566,-10.202465784413528,5.743492464959421,10,0.9785,False
v3,json_bind_16384,1.3698e-05,1.40445e-05,2.5340118075204643,-3.130148270181221,8.697291996680988,10,0.9785,False
v3,static_routes_100,5.9155e-07,6.965999999999999e-07,16.759392152388266,7.279693486590033,18.952234206471473,10,0.9785,True
v3,static_routes_1000,3.826e-06,4.1175e-06,6.363234357873226,-6.0265811182401485,15.313807531380764,10,0.9785,False
main,fasthttp_only,9.829e-08,1.256e-07,21.109682293466637,17.754794225382465,35.423263668988824,10,0.9785,True
main,static,2.2755000000000002e-07,2.742e-07,18.918320435877824,16.463414634146332,25.54296506137863,10,0.9785,True
main,parameter,2.5555000000000004e-07,3.1735e-07,23.29926419366073,11.625100563153667,40.601851851851855,10,0.9785,True
main,wildcard,2.88e-07,3.7514999999999997e-07,29.224890830954074,21.01777622865111,43.951946975973485,10,0.9785,True
main,query_lookup,2.8725e-07,3.628e-07,28.691356985056604,22.462057335581797,34.43573133310602,10,0.9785,True
main,header_lookup,2.8485e-07,3.8275e-07,32.54472494450478,26.3076923076923,39.44359756097562,10,0.9785,True
main,locals,2.6135000000000005e-07,3.6304999999999996e-07,40.235522620568,31.753554502369653,53.4956304619226,10,0.9785,True
main,query_bind,1.4775e-06,7.013500000000001e-07,-52.8817390071716,-56.9429347826087,-51.51162790697674,10,0.9785,True
main,middleware_chain,2.4e-07,3.0185e-07,27.357140662514425,12.136325852036588,51.23933360422592,10,0.9785,True
main,cors_simple,4.565e-07,5.7545e-07,26.841690623617875,18.27706635622817,38.844444444444434,10,0.9785,True
main,cors_preflight,9.961e-07,1.052e-06,5.090937949408048,-3.0612244897959218,9.152872444011685,10,0.9785,False
main,recover_no_panic,2.5265e-07,3.0675e-07,20.32341639205515,12.9433272394881,27.849860982391085,10,0.9785,True
main,not_found_default,6.9005e-07,3.6195000000000003e-07,-48.02838798013532,-51.23474311666194,-44.31312356101304,10,0.9785,True
main,not_found_custom,5.057e-07,2.8815e-07,-42.98455188997865,-48.15609756097561,-38.2740021574973,10,0.9785,True
main,json_response,7.1725e-07,7.206e-07,5.006659677087244,-1.6115587663239617,13.153678077203201,10,0.9785,False
main,json_bind,8.799000000000001e-07,9.568999999999999e-07,8.216524483666232,3.150021070375053,11.820762368207616,10,0.9785,True
main,json_response_1024,1.308e-06,1.322e-06,1.4127454919291793,-9.415384615384614,7.802013422818788,10,0.9785,False
main,json_bind_1024,1.851e-06,1.962e-06,4.2851747747457924,0.16268980477223138,10.594170403587434,10,0.9785,True
main,json_response_16384,8.878e-06,8.7815e-06,-1.6096198146216878,-4.88632507634883,5.373626373626372,10,0.9785,False
main,json_bind_16384,1.3698e-05,1.36505e-05,0.30604308587580675,-7.421545783550643,6.96134425958117,10,0.9785,False
