goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,,main-fasthttp,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/fasthttp_only,9.1215e-08,3%,1.3125000000000001e-07,9%,+43.89%,p=0.000 n=10,1.1690000000000001e-07,7%,+28.16%,p=0.000 n=10,1.0910000000000002e-07,5%,+19.61%,p=0.000 n=10,1.042e-07,11%,+14.24%,p=0.000 n=10
Request/static,2.0355e-07,9%,3.018e-07,9%,+48.27%,p=0.000 n=10,2.607e-07,2%,+28.08%,p=0.000 n=10,2.7139999999999996e-07,11%,+33.33%,p=0.000 n=10,2.1645e-07,12%,+6.34%,p=0.035 n=10
Request/parameter,2.4035e-07,17%,3.5135000000000003e-07,5%,+46.18%,p=0.000 n=10,2.9125e-07,4%,+21.18%,p=0.000 n=10,2.9660000000000005e-07,5%,+23.40%,p=0.000 n=10,2.4535e-07,17%,~,p=0.247 n=10
Request/wildcard,2.748e-07,12%,3.7945e-07,6%,+38.08%,p=0.000 n=10,3.4040000000000006e-07,6%,+23.87%,p=0.000 n=10,3.3600000000000004e-07,10%,+22.27%,p=0.000 n=10,2.8960000000000005e-07,13%,~,p=0.105 n=10
Request/query_lookup,2.6645e-07,8%,3.8020000000000003e-07,3%,+42.69%,p=0.000 n=10,3.3835e-07,4%,+26.98%,p=0.000 n=10,3.4790000000000004e-07,5%,+30.57%,p=0.000 n=10,2.8485e-07,16%,+6.91%,p=0.035 n=10
Request/header_lookup,2.6034999999999997e-07,8%,4.1215000000000005e-07,4%,+58.31%,p=0.000 n=10,3.5665e-07,5%,+36.99%,p=0.000 n=10,3.519500000000001e-07,5%,+35.18%,p=0.000 n=10,3.051e-07,8%,+17.19%,p=0.000 n=10
Request/locals,2.4695e-07,12%,3.8715e-07,4%,+56.77%,p=0.000 n=10,3.489e-07,4%,+41.28%,p=0.000 n=10,3.6275000000000004e-07,7%,+46.89%,p=0.000 n=10,2.947e-07,12%,+19.34%,p=0.000 n=10
Request/query_bind,1.41e-06,4%,1.6545e-06,3%,+17.34%,p=0.000 n=10,8.548500000000001e-07,5%,-39.37%,p=0.000 n=10,6.8205e-07,4%,-51.63%,p=0.000 n=10,6.4255e-07,5%,-54.43%,p=0.000 n=10
Request/middleware_chain,2.298e-07,10%,3.3295000000000003e-07,8%,+44.89%,p=0.000 n=10,2.8530000000000005e-07,9%,+24.15%,p=0.000 n=10,3.0235e-07,7%,+31.57%,p=0.000 n=10,2.3845e-07,16%,~,p=0.063 n=10
Request/cors_simple,4.341e-07,6%,6.225000000000001e-07,6%,+43.40%,p=0.000 n=10,6.068500000000001e-07,3%,+39.79%,p=0.000 n=10,5.4585e-07,4%,+25.74%,p=0.000 n=10,4.876500000000001e-07,6%,+12.34%,p=0.000 n=10
Request/cors_preflight,9.281500000000002e-07,5%,1.2145e-06,3%,+30.85%,p=0.000 n=10,1.0340000000000002e-06,4%,+11.40%,p=0.000 n=10,1.0017e-06,4%,+7.92%,p=0.001 n=10,9.261000000000001e-07,4%,~,p=0.616 n=10
Request/recover_no_panic,2.3055e-07,9%,3.3165000000000003e-07,4%,+43.85%,p=0.000 n=10,2.827e-07,10%,+22.62%,p=0.000 n=10,2.8854999999999997e-07,13%,+25.16%,p=0.000 n=10,2.382e-07,21%,~,p=0.110 n=10
Request/not_found_default,6.603500000000001e-07,5%,5.38e-07,5%,-18.53%,p=0.000 n=10,3.551e-07,8%,-46.23%,p=0.000 n=10,3.511e-07,4%,-46.83%,p=0.000 n=10,2.8650000000000003e-07,7%,-56.61%,p=0.000 n=10
Request/not_found_custom,4.6135000000000004e-07,7%,3.777e-07,5%,-18.13%,p=0.000 n=10,2.7455000000000003e-07,6%,-40.49%,p=0.000 n=10,2.800500000000001e-07,7%,-39.30%,p=0.000 n=10,2.2495e-07,19%,-51.24%,p=0.000 n=10
